title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"m 6.8 - 22 km ese of lata, solomon islands",6.8,2013-08-02 11:12:00,0,7,green,1,711,us,400,0.0,17.5,mww,12.0,-10.838,165.969,"Lata, Solomon Islands",Solomon Islands
"m 6.7 - 33 km ssw of lata, solomon islands",6.7,2013-07-02 18:59:00,0,6,green,1,691,us,387,0.0,26.5,mww,11.0,-10.997,165.655,"Lata, Solomon Islands",Solomon Islands
"m 7.0 - 33 km nw of lata, solomon islands",7.0,2013-06-02 01:54:00,0,6,green,0,754,us,445,0.0,17.5,mww,8.8,-10.499,165.588,"Lata, Solomon Islands",Solomon Islands
"m 7.1 - 112 km wsw of lata, solomon islands",7.1,2013-06-02 01:23:00,0,5,green,0,776,us,550,0.0,18.4,mww,10.0,-11.183,164.882,"Lata, Solomon Islands",Other
"m 8.0 - 75 km w of lata, solomon islands",8.0,2013-06-02 01:12:00,8,7,green,1,993,us,460,0.0,20.9,mww,24.0,-10.799,165.114,"Lata, Solomon Islands",Other
"m 6.9 - 18 km ssw of obihiro, japan",6.9,2013-02-02 14:17:00,6,7,yellow,0,814,us,686,0.0,28.0,mww,107.0,42.77,143.092,"Obihiro, Japan",Japan
"m 6.8 - 54 km n of vallenar, chile",6.8,2013-01-30 20:15:00,6,7,green,0,771,us,596,0.0,19.3,mww,45.0,-28.094,-70.653,"Vallenar, Chile",Chile
"m 6.7 - 59 km ssw of sola, vanuatu",6.7,2012-12-21 22:28:00,0,4,no alert,0,691,us,521,0.0,13.7,mww,200.7,-14.344,167.286,"Sola, Vanuatu",Vanuatu
m 7.1 - banda sea,7.1,2012-10-12 16:53:00,5,5,no alert,0,843,us,517,0.0,8.7,mww,155.0,-6.533,129.825,Banda Sea,Indonesia
"m 6.5 - 32 km sw of champerico, guatemala",6.5,2012-11-11 22:14:00,4,5,no alert,0,708,us,598,0.0,57.3,mww,20.0,14.129,-92.164,"Champerico, Guatemala",Other
"m 6.8 - 51 km nne of shwebo, myanmar",6.8,2012-11-11 01:12:00,7,6,no alert,0,795,us,391,0.0,13.7,mww,13.7,23.005,95.885,"Shwebo, Myanmar",Myanmar
m 6.5 - costa rica,6.5,2012-10-24 00:45:00,6,6,no alert,0,745,us,691,0.0,34.4,mww,17.0,10.086,-85.298,Costa Rica,Costa Rica
"m 6.6 - 163 km ene of tual, indonesia",6.6,2012-12-10 00:31:00,3,5,no alert,0,675,us,291,0.0,17.7,mww,13.0,-4.892,134.03,"Tual, Indonesia",Indonesia
"m 7.3 - 126 km s of puerto el triunfo, el salvador",7.3,2012-08-27 04:37:00,5,5,no alert,0,994,us,417,0.0,37.0,mww,28.0,12.139,-88.59,"Puerto El Triunfo, El Salvador",Other
"m 6.6 - 140 km wnw of tobelo, indonesia",6.6,2012-08-26 15:05:00,4,5,no alert,0,678,us,497,0.0,14.6,mww,91.1,2.19,126.837,"Tobelo, Indonesia",Indonesia
"m 7.7 - 156 km ene of poronaysk, russia",7.7,2012-08-14 02:59:00,7,4,no alert,0,941,us,862,0.0,13.8,mww,583.2,49.8,145.064,"Poronaysk, Russia",Other
"m 6.5 - 105 km ese of kokopo, papua new guinea",6.5,2012-07-28 20:03:00,5,6,no alert,0,653,us,576,0.0,11.7,mww,41.0,-4.651,153.173,"Kokopo, Papua New Guinea",Papua New Guinea
"m 6.6 - 76 km w of neiafu, tonga",6.6,2012-04-28 10:08:00,4,5,no alert,0,675,us,529,0.0,15.7,mww,134.7,-18.685,-174.705,"Neiafu, Tonga",Tonga
"m 6.7 - 86 km sse of manokwari, indonesia",6.7,2012-04-21 01:16:00,0,7,no alert,0,691,us,370,0.0,15.4,mww,16.0,-1.617,134.276,"Manokwari, Indonesia",Indonesia
"m 6.8 - 140 km n of lae, papua new guinea",6.8,2012-04-17 07:13:00,6,5,no alert,0,732,us,597,0.0,12.6,mww,198.0,-5.462,147.117,"Lae, Papua New Guinea",Papua New Guinea
"m 6.7 - 22 km nw of hacienda la calera, chile",6.7,2012-04-17 03:50:00,0,7,no alert,0,691,us,518,0.0,26.9,mww,29.0,-32.625,-71.365,"Hacienda La Calera, Chile",Chile
"m 7.0 - 69 km ene of san luis, mexico",7.0,2012-12-04 07:15:00,7,7,no alert,0,1000,us,474,0.0,95.9,mww,13.0,28.696,-113.104,"San Luis, Mexico",Mexico
"m 6.6 - 11 km ene of kainantu, papua new guinea",6.6,2012-03-21 22:15:00,6,6,no alert,0,709,us,640,0.0,10.1,mww,118.0,-6.242,145.955,"Kainantu, Papua New Guinea",Papua New Guinea
"m 6.7 - 38 km ne of saryg-sep, russia",6.7,2012-02-26 06:17:00,7,7,no alert,0,833,us,596,0.0,13.4,mww,12.0,51.708,95.991,"Saryg-Sep, Russia",Russian Federation
"m 7.1 - 125 km w of port-vila, vanuatu",7.1,2012-02-02 13:34:00,5,5,no alert,0,793,us,573,0.0,12.0,mww,23.0,-17.827,167.133,"Port-Vila, Vanuatu",Other
m 7.2 - off the west coast of northern sumatra,7.2,2012-10-01 18:36:00,4,4,no alert,0,838,us,443,0.0,17.0,mww,19.0,2.433,93.21,off the west coast of northern Sumatra,Other
"m 6.6 - 45 km nne of saryg-sep, russia",6.6,2011-12-27 15:21:00,0,7,no alert,0,670,us,545,0.0,17.6,mww,15.0,51.842,95.911,"Saryg-Sep, Russia",Russian Federation
